ticker,name,sector,exchange,yfinance_symbol,universe_rank
BBCA,PT Bank Central Asia Tbk,UNKNOWN,IDX,BBCA.JK,1
DCII,PT DCI Indonesia Tbk,UNKNOWN,IDX,DCII.JK,2
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,UNKNOWN,IDX,BBRI.JK,3
BMRI,PT Bank Mandiri (Persero) Tbk,UNKNOWN,IDX,BMRI.JK,4
BYAN,PT Bayan Resources Tbk.,UNKNOWN,IDX,BYAN.JK,5
BREN,PT Barito Renewables Energy Tbk,UNKNOWN,IDX,BREN.JK,6
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,UNKNOWN,IDX,TLKM.JK,7
ASII,PT Astra International Tbk,UNKNOWN,IDX,ASII.JK,8
AMMN,PT Amman Mineral Internasional Tbk,UNKNOWN,IDX,AMMN.JK,9
TPIA,PT Chandra Asri Pacific Tbk,UNKNOWN,IDX,TPIA.JK,10
SRAJ,PT Sejahteraraya Anugrahjaya Tbk,UNKNOWN,IDX,SRAJ.JK,11
MORA,PT Mora Telematika Indonesia Tbk,UNKNOWN,IDX,MORA.JK,12
BRPT,PT Barito Pacific Tbk,UNKNOWN,IDX,BRPT.JK,13
BBNI,PT Bank Negara Indonesia (Persero) Tbk,UNKNOWN,IDX,BBNI.JK,14
PANI,PT Pantai Indah Kapuk Dua Tbk,UNKNOWN,IDX,PANI.JK,15
DNET,PT Indoritel Makmur Internasional Tbk.,UNKNOWN,IDX,DNET.JK,16
SMMA,PT Sinar Mas Multiartha Tbk,UNKNOWN,IDX,SMMA.JK,17
BNLI,PT Bank Permata Tbk,UNKNOWN,IDX,BNLI.JK,18
EMAS,PT Merdeka Gold Resources Tbk,UNKNOWN,IDX,EMAS.JK,19
IMPC,PT Impack Pratama Industri Tbk,UNKNOWN,IDX,IMPC.JK,20
DSSA,PT Dian Swastatika Sentosa Tbk,UNKNOWN,IDX,DSSA.JK,21
MPRO,PT Maha Properti Indonesia Tbk,UNKNOWN,IDX,MPRO.JK,22
BRMS,PT Bumi Resources Minerals Tbk,UNKNOWN,IDX,BRMS.JK,23
CDIA,PT Chandra Daya Investasi TBK.,UNKNOWN,IDX,CDIA.JK,24
HMSP,PT Hanjaya Mandala Sampoerna Tbk,UNKNOWN,IDX,HMSP.JK,25
UNTR,PT United Tractors Tbk,UNKNOWN,IDX,UNTR.JK,26
BRIS,PT Bank Syariah Indonesia Tbk,UNKNOWN,IDX,BRIS.JK,27
ICBP,PT Indofood CBP Sukses Makmur Tbk,UNKNOWN,IDX,ICBP.JK,28
CASA,PT Capital Financial Indonesia Tbk,UNKNOWN,IDX,CASA.JK,29
ANTM,PT Antam (Persero) Tbk,UNKNOWN,IDX,ANTM.JK,30
CPIN,PT Charoen Pokphand Indonesia Tbk,UNKNOWN,IDX,CPIN.JK,31
ADRO,PT Alamtri Resources Indonesia Tbk,UNKNOWN,IDX,ADRO.JK,32
UNVR,PT Unilever Indonesia Tbk,UNKNOWN,IDX,UNVR.JK,33
ISAT,PT Indosat Ooredoo Hutchison Tbk,UNKNOWN,IDX,ISAT.JK,34
AADI,PT Adaro Andalan Indonesia Tbk,UNKNOWN,IDX,AADI.JK,35
BUMI,PT Bumi Resources Tbk,UNKNOWN,IDX,BUMI.JK,36
